기간,구분,구분,구분,평일 전체,평일 남자,평일 여자,주말 전체,주말 남자,주말 여자
2014,여가생활시간,여가생활시간,여가생활시간,256,260,252,367,395,340
2014,참여 및 봉사활동,참여 및 봉사활동,참여 및 봉사활동,3,3,3,2,2,2
2014,교제 및 여가활동,교제 및 여가활동,교제 및 여가활동,229,234,224,341,370,314
2014,교제 및 여가 활동,교제활동,계,38,33,42,46,41,51
2014,교제 및 여가 활동,교제활동,대면교제,24,21,28,32,28,35
2014,교제 및 여가 활동,교제활동,화상·음성교제,9,8,10,9,9,9
2014,교제 및 여가 활동,교제활동,문자·메일교제,4,4,4,6,5,6
2014,교제 및 여가 활동,미디어를 이용한 여가활동,계,118,117,119,178,189,168
2014,교제 및 여가 활동,미디어를 이용한 여가활동,책 읽기,8,9,7,11,12,10
2014,교제 및 여가 활동,미디어를 이용한 여가활동,신문 보기,3,5,2,3,4,2
2014,교제 및 여가 활동,미디어를 이용한 여가활동,실시간방송(TV) 보기,90,84,95,144,148,141
2014,교제 및 여가 활동,미디어를 이용한 여가활동,비디오 보기,2,2,2,4,5,2
2014,교제 및 여가 활동,미디어를 이용한 여가활동,인터넷 정보검색,13,16,11,16,19,12
2014,교제 및 여가 활동,미디어를 이용한 여가활동,기타(잡지 라디오 오디오 등),1,1,2,3,3,3
2014,교제 및 여가 활동,종교활동,종교활동,7,3,11,23,18,27
2014,교제 및 여가 활동,문화 및 관광활동,계,2,2,2,10,9,10
2014,교제 및 여가 활동,문화 및 관광활동,영화관·비디오방,1,1,1,4,4,4
2014,교제 및 여가 활동,문화 및 관광활동,관광·드라이브,0,0,0,1,1,1
2014,교제 및 여가 활동,문화 및 관광활동,기타(연극·콘서트 전시회·박물관관람?스포츠경기 관람 등),1,1,0,5,3,5
2014,교제 및 여가 활동,스포츠 및 레포츠,계,29,33,25,40,50,31
2014,교제 및 여가 활동,스포츠 및 레포츠,걷기·산책,11,11,11,17,18,16
2014,교제 및 여가 활동,스포츠 및 레포츠,등산,2,2,1,6,6,4
2014,교제 및 여가 활동,스포츠 및 레포츠,자건거·인라인,1,1,0,2,3,1
2014,교제 및 여가 활동,스포츠 및 레포츠,개인운동,12,13,11,8,9,8
2014,교제 및 여가 활동,스포츠 및 레포츠,구기운동,3,4,1,5,9,1
2014,교제 및 여가 활동,스포츠 및 레포츠,기타(달리기·조깅 낚시·사냥 등),0,1,0,3,5,2
2014,교제 및 여가 활동,의례활동,의례활동,0,0,0,2,2,2
2014,교제 및 여가 활동,기타 여가활동,계,36,45,26,43,62,27
2014,교제 및 여가 활동,기타 여가활동,집단게임·놀이,3,4,2,4,5,3
2014,교제 및 여가 활동,기타 여가활동,컴퓨터·모바일게임,11,18,4,18,31,6
2014,교제 및 여가 활동,기타 여가활동,개인 취미활동,2,1,2,2,2,2
2014,교제 및 여가 활동,기타 여가활동,여가·교양학습,3,2,3,1,0,1
2014,교제 및 여가 활동,기타 여가활동,유흥,4,7,1,6,9,3
2014,교제 및 여가 활동,기타 여가활동,담배피우기,1,2,0,1,2,0
2014,교제 및 여가 활동,기타 여가활동,아무것도 안하고 쉼,12,11,13,12,13,12
2014,교제 및 여가 활동,기타 여가활동,기타 여가관련 활동,1,0,1,1,1,1
2014,기타,기타,기타,24,23,25,25,24,25
